genome	organism	contigs	bases	tRNA	rRNA	CDS	tmRNA	repeat_region	OriginalName	Study_set	GenomeType	Sample_accession	Country	Continent	Host	Source	Disease	SamplingDate	Latitude	Longtitude	contigs_0_bp	contigs_1000_bp	contigs_5000_bp	contigs_10000_bp	contigs_25000_bp	contigs_50000_bp	Total_length_0_bp	Total_length_1000_bp	Total_length_5000_bp	Total_length_10000_bp	Total_length_25000_bp	Total_length_50000_bp	N_contigs	Largestcontig	Total_length	GC	N50	N75	L50	L75	Ns_per_100_kbp	Marker_lineage	Completeness	Contamination	Strain_heterogeneity	subdivision	lineages	letter	color
G78693	Bacteroides	421	5000268	50	NA	4157	NA	1	GUT_GENOME182407	UHGG	MAG	SAMN05826755	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	421	421	293	178	42	9	5000268	5000268	4558847	3734598	1590140	532930	421	85721	5000268	43.33	17625	9986	85	180	0	o__Bacteroidales_(UID2657)	93.74	4.37	41.18	1	lineage B	B	#895b39
3998_T_B_4	Bacteroides	424	5510199	87	14	4572	1	3	GCA_000598385.1_ASM59838v1_genomic.fna	Genbank	Isolate	SAMN02314534	NA	NA	NA	NA	NA	NA	NA	NA	424	323	190	142	75	25	5510199	5449982	5144021	4801519	3646033	1880466	387	181075	5496616	44.1	35715	19712	46	97	0	o__Bacteroidales_(UID2657)	99.26	0.04	100	1	lineage C	C	#d58840
321_BFRA	Bacteroides	150	5491405	37	7	4587	1	2	GCA_001056335.1_ASM105633v1_genomic.fna	Genbank	Isolate	SAMN03197512	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	150	132	105	91	70	42	5491405	5482728	5410587	5300768	4960930	3897351	139	307578	5487974	43.63	73696	46266	23	47	2	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage C	C	#d58840
322_BFRA	Bacteroides	193	5450450	32	5	4549	1	2	GCA_001054895.1_ASM105489v1_genomic.fna	Genbank	Isolate	SAMN03197513	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	193	160	125	109	78	44	5450450	5436301	5349298	5234795	4736152	3501159	170	229066	5443307	43.64	58847	39414	30	58	0.09	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage C	C	#d58840
3996_N_B_6	Bacteroides	298	5653655	73	10	4789	1	2	GCA_000598225.1_ASM59822v1_genomic.fna	Genbank	Isolate	SAMN02314532	NA	NA	NA	NA	NA	NA	NA	NA	298	236	109	94	64	46	5653655	5615512	5361127	5250357	4745119	4053000	275	217537	5644786	43.37	71055	46651	26	50	0	o__Bacteroidales_(UID2657)	98.88	4	100	1	lineage C	C	#d58840
G78557	Bacteroides	253	4907831	55	3	4048	1	2	GUT_GENOME222876	UHGG	MAG	SAMN05826634	Estonia	Europe	Homo sapiens	NA	NA	NA	NA	NA	253	253	178	137	74	23	4907831	4907831	4719119	4427889	3403328	1665628	253	135615	4907831	43.09	35799	22131	42	86	0	o__Bacteroidales_(UID2657)	96.17	2.17	12.5	1	lineage C	C	#d58840
sample_6	Bacteroides	199	4768451	27	1	3873	NA	2	GUT_GENOME176394	UHGG	MAG	SAMN04414080	Ireland	Europe	Homo sapiens	faeces	NA	NA	NA	NA	199	199	175	139	62	27	4768451	4768451	4684102	4406827	3124782	1871531	199	146718	4768451	43.29	37260	19935	39	83	0	o__Bacteroidales_(UID2657)	95.2	2.04	62.5	1	lineage C	C	#d58840
1009_4_F_10	Bacteroides	63	5117277	92	16	4152	1	7	GUT_GENOME141460	UHGG	Isolate	SAMN02314519	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	63	47	29	25	23	20	5117277	5108344	5068927	5040720	5009344	4888095	54	1218737	5113554	43.24	283732	186354	5	11	0	o__Bacteroidales_(UID2657)	99.26	0.37	100	1	lineage D	D	#c96744
G78619	Bacteroides	81	4825390	38	NA	3941	2	3	GUT_GENOME240500	UHGG	MAG	SAMN05826692	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	81	81	78	70	58	41	4825390	4825390	4816683	4755852	4540980	3932627	81	254298	4825390	43.39	82478	58125	18	36	0	o__Bacteroidales_(UID2657)	97.41	0.09	100	1	lineage D	D	#c96744
G80499	Bacteroides	49	5211094	61	1	4332	2	3	GUT_GENOME224825	UHGG	MAG	SAMN05827159	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	49	49	47	44	39	29	5211094	5211094	5207071	5188711	5107911	4760593	49	317197	5211094	43.5	213953	120371	10	18	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage D	D	#c96744
Brf_MC1	Bacteroides	180	5045202	54	1	4117	1	3	GCA_901212445.1_NZ_Bacteroides_fragilis_MC1_genomic.fna	Genbank	Isolate	SAMEA5574690	NA	NA	Homo sapiens	faeces	NA	NA	NA	NA	180	155	113	96	68	37	5045202	5029065	4930619	4812497	4337862	3195578	175	280019	5043407	43.24	61889	39238	25	51	33.59	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage D	D	#c96744
3_F_2_6	Bacteroides	201	5300459	94	7	4422	1	5	GCA_000598865.1_ASM59886v1_genomic.fna	Genbank	Isolate	SAMN02315072	NA	NA	NA	NA	NA	NA	NA	NA	201	156	97	80	62	41	5300459	5276243	5157956	5036014	4754131	4020186	174	416644	5289578	43.15	84284	51194	19	40	0	o__Bacteroidales_(UID2657)	99.26	1.3	80	1	lineage D	D	#c96744
3108874	Bacteroides	372	5443290	47	1	4611	NA	4	GUT_GENOME106913	UHGG	MAG	SAMN03398963	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	372	372	270	178	61	16	5443290	5443290	5126379	4442323	2604360	1074068	372	124052	5443290	42.44	22592	12535	66	146	0	o__Bacteroidales_(UID2657)	97.32	3.04	25	1	lineage D	D	#c96744
11301_ST_2M_1	Bacteroides	98	5511828	64	4	4655	1	NA	GUT_GENOME231245	UHGG	MAG	SAMN00990286	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	98	98	61	56	38	25	5511828	5511828	5408079	5375256	5094102	4607736	98	788488	5511828	43.63	180359	93287	8	18	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage E	E	#baff69
GUT_GENOME261916	Bacteroides	49	4606225	45	NA	3714	1	NA	GUT_GENOME261916	UHGG	MAG	NA	China	Asia	Homo sapiens	NA	NA	NA	NA	NA	49	49	47	39	34	27	4606225	4606225	4599932	4544348	4473557	4196030	49	397525	4606225	43.46	188524	131852	9	16	0	o__Bacteroidales_(UID2657)	93.36	0	0	1	lineage E	E	#baff69
bgi_NLM028	Bacteroides	83	5132860	55	NA	4248	1	NA	GUT_GENOME150792	UHGG	MAG	SAMN00715254	China	Asia	Homo sapiens	NA	NA	NA	NA	NA	83	83	81	76	56	41	5132860	5132860	5124603	5086226	4758160	4183108	83	372394	5132860	43.43	87350	56848	17	35	0	o__Bacteroidales_(UID2657)	97.47	2.97	5	1	lineage E	E	#baff69
G80601	Bacteroides	94	4992489	48	NA	4151	1	NA	GUT_GENOME184274	UHGG	MAG	SAMN05827251	Estonia	Europe	Homo sapiens	NA	NA	NA	NA	NA	94	94	85	73	59	38	4992489	4992489	4961006	4873467	4630304	3855960	94	237003	4992489	43.56	94384	52905	18	36	0	o__Bacteroidales_(UID2657)	96.65	0	0	1	lineage E	E	#baff69
228_700015857	Bacteroides	345	4969600	43	1	4046	1	NA	GUT_GENOME213325	UHGG	MAG	SAMN00034376	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	345	345	280	186	49	8	4969600	4969600	4744409	4058280	1836278	473361	345	66050	4969600	43.76	20370	11991	78	156	0	o__Bacteroidales_(UID2657)	94.98	1.49	25	1	lineage E	E	#baff69
228_700100432	Bacteroides	306	4731539	24	1	3865	NA	NA	GUT_GENOME102235	UHGG	MAG	SAMN00045189	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	306	306	224	157	59	8	4731539	4731539	4458221	3954222	2345247	602818	306	125061	4731539	43.27	24775	13708	60	123	0	o__Bacteroidales_(UID2657)	94.86	0.93	33.33	1	lineage E	E	#baff69
11301_ST_5m	Bacteroides	45	5228310	58	3	4360	1	NA	GUT_GENOME231335	UHGG	MAG	SAMN00991541	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	45	45	44	44	36	24	5228310	5228310	5225365	5225365	5102641	4632267	45	788282	5228310	43.47	193949	132152	7	15	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage E	E	#baff69
228_700015922	Bacteroides	114	4924233	53	2	4036	2	3	GUT_GENOME213331	UHGG	MAG	SAMN00034433	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	114	114	85	71	56	34	4924233	4924233	4852131	4756568	4516528	3693243	114	257429	4924233	43.32	94683	50625	17	34	0	o__Bacteroidales_(UID2657)	94.54	0.37	100	1	lineage F	F	#53743b
GUT_GENOME097366	Bacteroides	40	4949112	64	1	4066	1	2	GUT_GENOME097366	UHGG	MAG	NA	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	40	40	38	37	33	29	4949112	4949112	4945331	4937705	4857351	4706793	40	872388	4949112	43.52	183060	126635	8	16	0	o__Bacteroidales_(UID2657)	98.88	0	0	1	lineage F	F	#53743b
MSK_10_5	Bacteroides	41	5311203	66	7	4434	1	2	GCA_015553495.1_ASM1555349v1_genomic.fna	Genbank	Isolate	SAMN19731848	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	146	110	79	68	55	37	5100293	5079055	5016483	4946143	4716952	4038725	130	383604	5094532	43.17	101920	55178	16	33	0	o__Bacteroidales_(UID2657)	99.26	0.37	0	1	lineage F	F	#53743b
GUT_GENOME000511	Bacteroides	21	5159276	63	6	4276	1	2	GUT_GENOME000511	UHGG	Isolate	SAMEA104428556	Canada	North America	Homo sapiens	NA	NA	NA	NA	NA	21	14	11	11	10	8	5159276	5156564	5151573	5151573	5131675	5057105	14	1702528	5156564	43.39	1023223	647023	2	4	0.97	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage F	F	#53743b
228_700111439	Bacteroides	129	4774351	53	1	3900	1	3	GUT_GENOME216648	UHGG	MAG	SAMN00082214	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	129	129	84	69	51	34	4774351	4774351	4667521	4559716	4240485	3620783	129	276900	4774351	43.5	103665	52260	16	34	0	o__Bacteroidales_(UID2657)	91.18	1.49	0	1	lineage F	F	#53743b
SKBSTL007	Bacteroides	39	4508269	45	NA	3656	NA	1	GUT_GENOME096672	UHGG	MAG	SAMN02674793	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	39	39	38	37	31	26	4508269	4508269	4503559	4497161	4399166	4194950	39	437376	4508269	43.72	181437	117192	9	16	0	o__Bacteroidales_(UID2657)	92.19	0	0	1	lineage F	F	#53743b
GUT_GENOME129825	Bacteroides	584	4895010	28	NA	3991	1	NA	GUT_GENOME129825	UHGG	MAG	SAMEA1877333	Germany	Europe	Homo sapiens	NA	NA	NA	NA	NA	584	584	312	158	31	3	4895010	4895010	4072081	2968298	1117787	179174	584	66221	4895010	43.02	12049	6650	111	243	0	o__Bacteroidales_(UID2657)	94.35	2.31	55.56	1	lineage F	F	#53743b
3774_T13	Bacteroides	340	5421891	85	14	4519	1	2	GCA_000598305.1_ASM59830v1_genomic.fna	Genbank	Isolate	SAMN02314525	NA	NA	NA	NA	NA	NA	NA	NA	340	265	174	134	77	30	5421891	5378519	5165859	4899283	3999083	2312333	313	136033	5411964	43.81	41659	23415	39	80	0	o__Bacteroidales_(UID2657)	99.26	0.74	100	1	lineage F	F	#53743b
S36L5	Bacteroides	105	5743609	80	8	4987	2	2	GCA_000599025.1_ASM59902v1_genomic.fna	Genbank	Isolate	SAMN02315065	NA	NA	NA	NA	NA	NA	NA	NA	105	100	62	50	43	31	5743609	5740175	5656701	5574114	5476154	5021720	105	388901	5743609	43.61	191134	104837	12	22	0	o__Bacteroidales_(UID2657)	99.26	0.31	50	1	lineage G	G	#68c668
S6R6	Bacteroides	84	5246809	80	8	4400	1	2	GCA_000599245.1_ASM59924v1_genomic.fna	Genbank	Isolate	SAMN02314563	NA	NA	NA	NA	NA	NA	NA	NA	84	75	43	39	31	29	5246809	5242067	5166966	5138866	5028794	4939570	79	480014	5244692	43.47	186808	116440	9	18	0	o__Bacteroidales_(UID2657)	99.26	1.8	87.5	1	lineage G	G	#68c668
S6R5	Bacteroides	80	5249251	82	24	4383	1	2	GCA_000599045.1_ASM59904v1_genomic.fna	Genbank	Isolate	SAMN02314561	NA	NA	NA	NA	NA	NA	NA	NA	80	74	35	31	28	26	5249251	5246289	5151524	5126402	5077104	4983276	77	700185	5248023	43.42	204746	147059	8	16	0	o__Bacteroidales_(UID2657)	99.26	1.05	83.33	1	lineage G	G	#68c668
S36L11	Bacteroides	294	5723061	96	11	4920	2	2	GCA_000599125.1_ASM59912v1_genomic.fna	Genbank	Isolate	SAMN02315066	NA	NA	NA	NA	NA	NA	NA	NA	294	238	156	118	80	36	5723061	5687510	5486690	5209575	4604849	2967510	278	260344	5717113	43.72	51465	31088	34	69	0	o__Bacteroidales_(UID2657)	99.26	0.31	50	1	lineage G	G	#68c668
S6R8	Bacteroides	133	5214644	78	7	4372	1	2	GCA_000601075.2_ASM60107v2_genomic.fna	Genbank	Isolate	SAMN02314562	NA	NA	NA	NA	NA	NA	NA	NA	133	104	59	53	43	31	5214644	5198023	5101562	5060073	4902059	4434286	119	559073	5209124	43.44	131161	77674	11	23	0	o__Bacteroidales_(UID2657)	98.88	1.24	80	1	lineage G	G	#68c668
228_700037284	Bacteroides	56	4794025	44	NA	4013	NA	2	GUT_GENOME101667	UHGG	MAG	SAMN00040035	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	56	56	54	51	42	32	4794025	4794025	4788613	4766274	4621383	4222515	56	401549	4794025	43.31	136592	76651	10	22	0	o__Bacteroidales_(UID2657)	97.05	0.37	100	1	lineage G	G	#68c668
S6L8	Bacteroides	100	5225713	76	6	4383	1	2	GCA_000599385.1_ASM59938v1_genomic.fna	Genbank	Isolate	SAMN02314560	NA	NA	NA	NA	NA	NA	NA	NA	100	88	48	42	39	33	5225713	5219542	5122279	5078868	5036567	4778152	94	716595	5223308	43.41	164018	79234	9	20	0	o__Bacteroidales_(UID2657)	99.26	0.89	80	1	lineage G	G	#68c668
S6L3	Bacteroides	119	5307885	76	8	4449	1	2	GCA_000599225.1_ASM59922v1_genomic.fna	Genbank	Isolate	SAMN02314559	NA	NA	NA	NA	NA	NA	NA	NA	119	93	47	40	35	29	5307885	5294634	5188070	5134820	5034415	4803184	100	352500	5300128	43.43	251060	91862	9	18	0	o__Bacteroidales_(UID2657)	99.26	0.5	66.67	1	lineage G	G	#68c668
DS_166	Bacteroides	124	5167326	78	8	4270	1	2	GUT_GENOME141454	UHGG	Isolate	SAMN02314419	USA	North America	Homo sapiens	NA	NA	NA	NA	NA	124	104	75	62	51	37	5167326	5155388	5086231	4999936	4828739	4300323	116	380200	5164085	43.4	113088	62709	15	30	0	o__Bacteroidales_(UID2657)	99.26	0.74	100	1	lineage G	G	#68c668
3397_N3	Bacteroides	102	5204756	83	10	4291	1	1	GCA_000598925.1_ASM59892v1_genomic.fna	Genbank	Isolate	SAMN02314529	NA	NA	NA	NA	NA	NA	NA	NA	102	85	65	59	48	35	5204756	5195326	5154088	5117346	4938692	4406544	95	622654	5202081	43.31	116865	67988	13	27	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage H	H	#38423f
228_700105210	Bacteroides	165	4400831	21	NA	3523	NA	1	GUT_GENOME103144	UHGG	MAG	SAMN00078732	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	165	165	140	116	66	33	4400831	4400831	4318434	4134703	3328417	2163701	165	122452	4400831	43.34	49540	25730	34	65	0	o__Bacteroidales_(UID2657)	91.13	0.19	0	1	lineage H	H	#38423f
228_700112812	Bacteroides	184	5109037	51	1	4205	1	NA	GUT_GENOME216889	UHGG	MAG	SAMN00085565	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	184	184	136	112	67	33	5109037	5109037	4995013	4822772	4097428	2822825	184	206684	5109037	42.95	56826	34493	28	58	0	o__Bacteroidales_(UID2657)	93.97	0.93	66.67	1	lineage H	H	#38423f
G69180	Bacteroides	486	5150626	40	3	4212	1	1	GUT_GENOME182532	UHGG	MAG	SAMN05826516	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	486	486	364	202	28	1	5150626	5150626	4710663	3541237	928501	55553	486	55553	5150626	43.07	14063	8572	121	237	0	o__Bacteroidales_(UID2657)	94.4	1.39	71.43	1	lineage H	H	#38423f
3397_T14	Bacteroides	94	5238350	74	8	4338	1	1	GCA_000599165.2_ASM59916v2_genomic.fna	Genbank	Isolate	SAMN02314520	NA	NA	NA	NA	NA	NA	NA	NA	94	83	61	57	45	34	5238350	5231802	5180662	5154482	4961468	4538434	90	424528	5236983	43.3	148019	75809	11	25	0	o__Bacteroidales_(UID2657)	99.26	0	0	1	lineage H	H	#38423f
3397_N2	Bacteroides	93	5117152	74	7	4214	NA	1	GCA_000598565.1_ASM59856v1_genomic.fna	Genbank	Isolate	SAMN02314521	NA	NA	NA	NA	NA	NA	NA	NA	93	82	64	57	44	32	5117152	5111741	5063342	5012137	4785547	4316830	86	507975	5114717	43.32	138404	81941	11	24	0	o__Bacteroidales_(UID2657)	97.4	0	0	1	lineage H	H	#38423f
G78562	Bacteroides	151	4955164	47	2	4043	1	1	GUT_GENOME181993	UHGG	MAG	SAMN05826638	Russia	Asia	Homo sapiens	NA	NA	NA	NA	NA	151	151	138	121	82	27	4955164	4955164	4910127	4784041	4129138	2085757	151	193902	4955164	43.41	46155	30587	36	67	0	o__Bacteroidales_(UID2657)	97.23	0	0	1	lineage I	I	#7bccbc
SKBSTL059	Bacteroides	125	4537011	40	3	3738	1	NA	GUT_GENOME097189	UHGG	MAG	SAMN02674705	USA	North America	Homo sapiens	faeces	NA	NA	NA	NA	125	125	113	101	67	32	4537011	4537011	4495383	4402228	3828186	2592827	125	149984	4537011	43.76	61066	30948	27	53	0	o__Bacteroidales_(UID2657)	92.83	2.97	36.36	1	lineage I	I	#7bccbc
G80399	Bacteroides	219	4465389	53	3	3618	1	NA	GUT_GENOME225594	UHGG	MAG	SAMN05827063	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	219	219	192	145	64	15	4465389	4465389	4365367	4015210	2696177	972119	219	99680	4465389	43.93	31885	17700	48	96	0	o__Bacteroidales_(UID2657)	97.03	0.07	50	1	lineage I	I	#7bccbc
3101439	Bacteroides	119	4931656	39	NA	4078	1	1	GUT_GENOME106602	UHGG	MAG	SAMN03398895	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	119	119	92	84	54	30	4931656	4931656	4852790	4796381	4283733	3390261	119	215183	4931656	43.17	94702	43432	17	37	0	o__Bacteroidales_(UID2657)	95.94	0.12	0	1	lineage I	I	#7bccbc
JCM_11017	Bacteroides	98	5270831	56	3	5291	1	1	GCA_000613425.1_ASM61342v1_genomic.fna	Genbank	Isolate	SAMD00008955	NA	NA	NA	NA	NA	NA	NA	NA	98	88	68	60	48	33	5270831	5264309	5215413	5160691	4968806	4451934	98	305320	5270831	43.44	155936	70054	13	25	0	o__Bacteroidales_(UID2657)	97.35	0.56	0	1	lineage I	I	#7bccbc
G80533	Bacteroides	64	4757680	55	NA	3930	1	NA	GUT_GENOME184092	UHGG	MAG	SAMN05827191	Finland	Europe	Homo sapiens	NA	NA	NA	NA	NA	64	64	62	58	52	33	4757680	4757680	4751647	4723312	4616848	3916135	64	285561	4757680	43.5	125123	60756	13	27	0	o__Bacteroidales_(UID2657)	98.88	0	0	1	lineage I	I	#7bccbc
